placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,seq,area,inv,transecto,parcela,distancia,ns,metragem,quadra,recruit,data_morta,altura,altura_1,dap.04,mv.04,obs.04,data04,pq_f4,obs_f4,am_f4,c.05,mv.05,obs.05,pp_ne5,tombada5,am_f5,pq_f5,obs_cic5,qtotal5,data_cic5,c.06,mv.06,obs.06,pp_ne6,am_f6,pq_f6,obs_cic6,data_cic6,qtotal6,data06,dap.07,c.07,mv.07,obs.07,pp_ne7,tombada7,data_c07P,c07P,obs_c07P,c07_CP,am_f7,pq_f7,nova_placa.07,data07,dap.08,c.08,mv.08,obs.08,data08,NA.CORRECAO,Cicat,Rec,c.09,mv.09,obs.09,cicat_c09,recup_c09,am_f9,pq_f9,qt_f9,obs_cic9,data_cic9,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,c.22,mv.22,obs.22,alt22,data22,equipe.22,mv.23,obs.23,data23,equipe.23,dap.24,c.24,mv.24,obs.24,data24,equipe.24
1,,urucurana_folha_grande,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,1,1,10a20cm,F,A,-7,N,3.4,1,i04,,17,17,29.5,v,,01_08_2004,,,,4,v,cr,0,0,,,,,,3,v,,0,,,,,,01_08_2006,,4,v,,0,0,,,,,,,,31_07_2007,27.7,3,v,,10_07_2008,,,,5,v,,,,,,,,,30.3,5,v,,23_06_2010,28.6,5,v,,12_08_2011,30.3,4,v,,20_06_2012,29.7,4,v,,08_10_2014,29.6,4,v,viva,09_06_2016,32.1,5,v,,18_06_2018,31.2,5,v,,,01_07_2022,Santarem_Ebis_Antonio,v,,21_06_2023,Bate; Santarém; Ebis,30.9,5,v,,13_06_2024,Ebis_Santarem_Sebastiao
10,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,10,1,10a20cm,F,A,-4,N,22,3,i04,2004,28,28,27.2,m,,01_08_2004,,,,0,m,,0,0,,,,,,0,m,,0,,,,,,01_08_2006,,0,m,,0,0,,,,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,23_06_2010,,0,m,morta,12_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
100,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,100,1,10a20cm,F,A,-2.5,N,258,23,i04,,9,9,67.9,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,,,,,,,,31_07_2007,68.8,5,v,,10_07_2008,,,,5,v,,,,,,,,,69.7,5,v,,28_06_2010,69.8,5,v,,12_08_2011,69.8,5,v,,20_06_2012,70.5,5,v,,08_10_2014,71.1,5,v,,09_06_2016,71.5,5,v,,18_06_2018,72.3,5,v,,,01_07_2022,Santarem_Ebis_Antonio,v,,21_06_2023,Bate; Santarém; Ebis,72.3,5,v,,13_06_2024,Ebis_Santarem_Sebastiao
1000A,,canela_de_veado,Amagui,Amaioua,guianensis Aubl.,Rubiaceae,,0.63,6128,1,10a20cm,K,A,1.1,S,102.1,10,i04,2016,9,9,10.7,v,Bifurcada,01_08_2004,,,,5,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,,v,,0,0,,,,,,,,31_07_2007,9.7,4,v,,10_07_2008,,,,4,v,,,,,,,,,9.6,3,v,,23_06_2010,9.7,3,v,,18_08_2011,9.6,4,v,,20_06_2012,9.5,4,v,,08_10_2014,,0,m,morta,15_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1000B,,canela_de_veado,Amagui,Amaioua,guianensis Aubl.,Rubiaceae,,0.63,6129,1,10a20cm,K,A,1.1,S,102.1,10,i04,2022,25,25,10,v,Bifurcada,01_08_2004,,,,5,v,,0,0,,,,,,,v,,0,,,,,,01_08_2006,,5,v,,0,0,,,,,,,,31_07_2007,7.3,4,v,,10_07_2008,,,,4,v,,,,,,,,,7.5,3,v,,23_06_2010,7.5,4,v,,18_08_2011,7.3,4,v,,20_06_2012,8.4,3,v,morta,08_10_2014,9.6,2,v,,15_06_2016,9.9,2,v,,18_06_2018,,0,m,morta,,11_07_2022,Santarem_Ebis_Bat,,,,,,0,m,,10_06_2024,
1001,,sardinheira,Casgra,Casearia,grandiflora Camb.,Flacourtiaceae,,0.77,980,1,10a20cm,K,A,0.6,S,103.1,10,i04,2010,11,11,14.7,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,4,v,,0,0,,,,,,,,31_07_2007,17.4,4,v,,10_07_2008,,,,4,v,,,,,,,,,,0,m,m,23_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,15_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1002,,maramara_branco,Micgra,Miconia,gratissima Benth ex. Triana,Melastomataceae,,0.6315,981,1,10a20cm,K,A,1.9,S,106.3,10,i04,2008,16,16,10.1,v,,01_08_2004,,,,3,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,4,v,,0,0,,,,,,,,31_07_2007,10,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,23_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,15_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1003,,breu_aroeira,Dacmic,Dacryodes,microcarpa Cuart.,Burseraceae,,0.511666667,982,1,10a20cm,K,A,-0.9,N,125.8,11,i04,,20,20,18,v,,01_08_2004,,,,4,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,5,v,,0,0,,,,,,,,31_07_2007,18.1,3,v,,10_07_2008,,,,4,v,cr,,,,,,,,18.1,4,v,,23_06_2010,18.2,3,v,,18_08_2011,18.2,4,v,,20_06_2012,18.3,4,v,,08_10_2014,18.5,4,v,,15_06_2016,19.3,5,v,,18_06_2018,19.7,3,v,,,11_07_2022,Santarem_Ebis_Bat,v,,22_06_2023,Bate; Leo,19.9,2,v,,18_06_2024,Santarem_Nathalia_Maraca
1004,,tinteiro_vermelho,Micpun,Miconia,punctata (Desv.) D. Don.,Melastomataceae,,0.6315,983,1,10a20cm,K,A,-1.5,N,133,11,i04,2008,7,7,17.4,v,,01_08_2004,,,,5,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,4,v,,0,0,,,,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,23_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,15_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1005,,breu_folha_peluda,Propil,Protium,pilosissimum Engl.,Burseraceae,,0.71,984,1,10a20cm,K,A,-1,N,139.2,11,i04,2006,10,10,15.2,v,,01_08_2004,,,,5,v,,0,0,,,,,,0,m,,0,,,,,,01_08_2006,,0,m,,0,0,,,,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m/pr,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,15_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
