placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,inv,area,parcela,quadra,nsdist,linha,lo,lodist,recruit,data_morta,altura,altura_1,dap.04,mv.04,data04,am_f4.x,pq_f4.x,obs.04,am_f4.y,pq_f4.y,obs_cic4,c.05,mv.05,obs.05,am_f5,pq_f5,obs_cic5,data_cic5,data05,c.06,mv.06,obs.06,am_f6,pq_f6,obs_cic6,obs_m066,data_cic6,data_m066,data06,dap.07,c.07,mv.07,obs.07,data07,nova_placa.07,c07p,am_f7,pq_f7,caidape_c07p,obs_c07p,data_c07p,dap.08,c.08,mv.08,obs.08,data08,c.09,mv.09,obs_c09,cicat.09,Rec.09,am_f9,pq_f9,obs_cic9,data_cic9,qt_f9,data09,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,mv.22,c.22,obs.22,alt22,data22,equipe.22,dap.24,c.24,mv.24,obs.24,data24,equipe.24
6084,,breu_aroeira,Dacmic,Dacryodes,microcarpa Cuart.,Burseraceae,,0.511666667,40,1,A,3,107,7,L,11,i04,2024,21,21,47,v,20_09_2004,,,,,,,4,v,,,,,,09_09_2005,4,v,CQ/CR,,,,,,6/20/06,08_08_2006,,3,v,,12_07_2007,,,,,,,,46.9,2,v,,19_08_2008,4,v,cq/cr,,,,,,,,06_08_2009,46.4,4,v,cq,06_07_2010,47,2,v,,31_08_2011,46.8,1,v,cqcr,12_08_2012,46.7,1,v,cq,29_07_2014,46.2,2,v,toco,12_07_2016,45.5,2,v,,16_07_2018,42,v,1,cqr,,26_07_2022,Ebis_Bate_Darlisson,,0,m,morta,24_06_2024,Ebis_Sebastiao
6771,,cuiarana,Tertet,Terminalia,tetraphylla (Aublet) Howard,Combretaceae,,0.72,40,1,A,1,4,6,O,10,i04,,28,28,69.2,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,70.4,5,v,,18_08_2008,2,v,,,,,,,,,06_08_2009,70.3,5,v,,06_07_2010,70.3,4,v,,30_08_2011,71.7,3,v,,12_08_2012,71.1,1,v,cq,29_07_2014,71,3,v,,12_07_2016,71.4,3,v,cqcr,16_07_2018,71.5,v,5,,,22_07_2022,Ebis_Sanarem_Bate,72.1,4,v,cqcr,21_06_2024,Sebastiao_Ebis_Darlisson
6772,,breu_sucurubinha,Tragla,Trattinnickia,glaziovii Swart.,Burseraceae,,0.52,40,1,A,1,47,6,L,4,i04,,22,22,61.7,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,3,v,,,,,,,,08_08_2006,,4,v,,12_07_2007,,,,,,,,62,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,61.9,5,v,,06_07_2010,61.9,5,v,,30_08_2011,62.7,5,v,,12_08_2012,62.8,3,v,cq,29_07_2014,64,4,v,,12_07_2016,64,4,v,,16_07_2018,65,v,4,,,22_07_2022,Ebis_Sanarem_Bate,64.9,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6773,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,2,55,6,L,13,i04,,29,29,93.9,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,97.4,5,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,99,5,v,,06_07_2010,99.4,5,v,,30_08_2011,99.8,5,v,,12_08_2012,97.8,3,v,cq,29_07_2014,99.5,4,v,,12_07_2016,99.5,5,v,,16_07_2018,101,v,4,,,22_07_2022,Ebis_Sanarem_Bate,102,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6774,,louro_abacate,Ocoacu,Ocotea,leucoxylon (Sw.) Laness.,Lauraceae,,0.543571429,40,1,A,2,60,6,O,7,i04,,26,26,56.7,v,20_09_2004,,,,,,,3,v,cq,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,4,v,,12_07_2007,,,,,,,,56.9,4,v,,18_08_2008,4,v,,,,,,,,,06_08_2009,57.3,4,v,,06_07_2010,57.5,5,v,,30_08_2011,57.3,3,v,,12_08_2012,57.6,4,v,,29_07_2014,57.2,2,v,cqcr,12_07_2016,58.1,4,v,,16_07_2018,58.5,v,4,,,22_07_2022,Ebis_Sanarem_Bate,58.3,3,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6775,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,2,85,6,O,12,i04,,29,29,48.4,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,50.4,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,52.8,5,v,,06_07_2010,53,5,v,,30_08_2011,53.4,5,v,,12_08_2012,53.5,4,v,,29_07_2014,54.1,1,v,cqcr,12_07_2016,54,3,v,cqcr,16_07_2018,53.9,v,5,,,22_07_2022,Ebis_Sanarem_Bate,53.9,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6776,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,3,118,6,L,0.5,i04,,25,25,43.9,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,4,v,,12_07_2007,,,,,,,,46.5,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,46.9,4,v,,06_07_2010,47.4,4,v,,30_08_2011,48.5,5,v,,12_08_2012,48.5,3,v,,29_07_2014,50,4,v,0.50 cm leste,12_07_2016,50.9,4,v,,16_07_2018,53.9,v,2,,,22_07_2022,Ebis_Sanarem_Bate,54.5,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6777,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,3,124,6,O,25,i04,,29,29,59.2,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,5,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,62.7,5,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,64.8,5,v,,06_07_2010,65.6,5,v,,30_08_2011,65.7,5,v,,12_08_2012,65.9,2,v,cq,29_07_2014,66.5,2,v,,12_07_2016,66,2,v,dap correto cqcr,16_07_2018,66.1,v,3,,,22_07_2022,Ebis_Sanarem_Bate,66.6,4,v,,21_06_2024,Sebastiao_Ebis_Darlisson
6778,,carapanauba,Aspexc,Aspidosperma,excelsum Benth.,Apocynaceae,,0.79,40,1,A,3,132,6,O,12,i04,2014,27,27,54,v,20_09_2004,,,,,,,4,v,,,,,,08_09_2005,3,v,CQ,,,,,,,08_08_2006,,3,v,,12_07_2007,,,,,,,,54.8,1,v,cq,18_08_2008,3,v,,,,,,,,,06_08_2009,54.4,4,v,,06_07_2010,54.5,4,v,,30_08_2011,54.6,4,v,,12_08_2012,,0,m,m,29_07_2014,,0,m,,12_07_2016,,0,m,,16_07_2018,,m,0,,,01_08_2022,,,0,m,,23_06_2024,
6779,,breu_sucuruba_branco,Trabur,Trattinnickia,burseraefolia Mart.,Burseraceae,,0.46,40,1,A,3,130,6,O,1,i04,,29,29,51.6,v,20_09_2004,,,,,,,5,v,,,,,,08_09_2005,4,v,,,,,,,,08_08_2006,,5,v,,12_07_2007,,,,,,,,52.1,4,v,,18_08_2008,5,v,,,,,,,,,06_08_2009,53.5,5,v,,06_07_2010,53.5,4,v,,30_08_2011,53,5,v,,12_08_2012,54.6,4,v,,29_07_2014,55.7,5,v,,12_07_2016,56,5,v,,16_07_2018,58.8,v,5,,,22_07_2022,Ebis_Sanarem_Bate,59,5,v,,21_06_2024,Sebastiao_Ebis_Darlisson
