placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,inv,area,parcela,quadra,nsdist,ns,transecto,metragem,recruit,data_morta,ind.resgate,altura,altura_1,dap.06,c.06,mv.06,obs.06,data06,dap.08,c.08,mv.08,obs.08,data08,c.09,mv.09,cicat.09,recup.09,obs.09,data09,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,c.22,mv.22,obs.22,alt22,data22,equipe.22,dap.24,c.24,mv.24,obs.24,data24,equipe.24
25507,,ni,unkunk,unknow,unknow,unknow,,,5a10cm,1,,,,S,A,,i11,2012,resgate11,,,,,,,,,,,,,,,,,,,,,,,,8.1,3,v,,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,13_05_2016,,0,m,,26_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25680,,urucurana_folha_grande,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,5a10cm,1,C,82,1.5,S,AB,1015.7,i06,2008,,8,8,5.6,4,v,cr,16_08_2006,,0,m,morta,29_08_2008,0,m,,,morta,14_08_2009,,0,m,m,19_07_2010,,0,m,,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,20_05_2016,,0,m,,26_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25681,,canela_de_veado,Amagui,Amaioua,guianensis Aubl.,Rubiaceae,,0.63,5a10cm,1,C,82,1.1,S,AB,1018.1,i06,2011,,7,7,9.2,4,v,,16_08_2006,9.2,3,v,,29_08_2008,4,v,0,0,,14_08_2009,9.2,4,v,,19_07_2010,,0,m,,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,20_05_2016,,0,m,,26_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25682,,cuiarana,Tertet,Terminalia,tetraphylla (Aublet) Howard,Combretaceae,,0.72,5a10cm,1,C,82,0.7,S,AB,1020.7,i06,2006,,5,5,5,0,m,,16_08_2006,,0,m,morta,29_08_2008,0,m,,,morta,14_08_2009,,0,m,m,19_07_2010,,0,m,,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,20_05_2016,,0,m,,26_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25683,,tinteiro_vermelho,Micpun,Miconia,punctata (Desv.) D. Don.,Melastomataceae,,0.6315,5a10cm,1,C,86,2.1,S,AB,1055.4,i06,2008,,9,9,7.9,5,v,,16_08_2006,,0,m,morta,29_08_2008,0,m,,,morta,14_08_2009,,0,m,m,19_07_2010,,0,m,,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,20_05_2016,,0,m,,26_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25684,,tarana,Chasch,Chaetocarpus,schomburgkianus (O. Kze) Pav.et K.,Peraceae,,0.81,5a10cm,1,C,86,2,S,AB,1057.6,i06,2006,,2,2,6.6,0,m,cq,16_08_2006,,0,m,morta,29_08_2008,0,m,,,morta,14_08_2009,,0,m,m,19_07_2010,,0,m,,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,20_05_2016,,0,m,,26_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25685,,louro_prata,Ocogui,Ocotea,guianensis Aubl.,Lauraceae,,0.56,5a10cm,1,C,86,1.6,S,AB,1059.8,i06,2006,,11,11,6.8,0,m,,16_08_2006,,0,m,morta,29_08_2008,0,m,,,morta,14_08_2009,,0,m,m,19_07_2010,,0,m,,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,20_05_2016,,0,m,,26_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25686,,urucurana_folha_grande,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,5a10cm,1,C,88,0.6,S,AB,1077.7,i06,2011,,7,7,5.2,3,v,mesmo tronco 4226,16_08_2006,5.4,2,v,,29_08_2008,3,v,0,0,,14_08_2009,5.5,4,v,,19_07_2010,,0,m,,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,20_05_2016,,0,m,,26_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25687,,urucurana_folha_grande,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,5a10cm,1,C,88,0.6,S,AB,1077.8,i06,2024,,10,10,8.3,4,v,,16_08_2006,8.3,2,v,cr,29_08_2008,3,v,0,0,,14_08_2009,9.3,5,v,cr,19_07_2010,9.4,3,v,,17_08_2011,9.6,2,v,,21_06_2012,9.6,1,v,cqcr,12_11_2014,8.4,1,v,cqcr,20_05_2016,8.3,2,v,cq,26_06_2018,9.5,1,v,,,22_06_2022,Bate_Ebis_Antonio_Santarem,,0,m,morta,10_06_2024,Ebis_Sebastiao_Santarem
25688,,tinteiro_vermelho,Micpun,Miconia,punctata (Desv.) D. Don.,Melastomataceae,,0.6315,5a10cm,1,C,88,2.35,S,AB,1084.6,i06,2008,,6,6,6.3,5,v,,16_08_2006,,0,m,morta,29_08_2008,0,m,,,morta,14_08_2009,,0,m,m,19_07_2010,,0,m,,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,20_05_2016,,0,m,,26_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25689,,tinteiro_vermelho,Micpun,Miconia,punctata (Desv.) D. Don.,Melastomataceae,,0.6315,5a10cm,1,C,88,1.2,S,AB,1085.6,i06,2008,,8,8,9.8,5,v,,16_08_2006,,0,m,morta,29_08_2008,0,m,,,morta,14_08_2009,,0,m,m,19_07_2010,,0,m,,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,20_05_2016,,0,m,,26_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
25690,,breu_de_uma_folha,Prouni,Protium,unifoliolatum Engl.,Burseraceae,,0.33,5a10cm,1,C,88,1.9,S,AB,1088,i06,2008,,6,6,6.3,5,v,,16_08_2006,,0,m,morta,29_08_2008,0,m,,,morta,14_08_2009,,0,m,m,19_07_2010,,0,m,,17_08_2011,,0,m,,21_06_2012,,0,m,morta,12_11_2014,,0,m,morta,20_05_2016,,0,m,,26_06_2018,,0,m,,,01_07_2022,,,0,m,,10_06_2024,
